Date,Time,Reason For Call,Patrol Officer Name/Street,Street/Unit,Unit/Car,Race,Gender,Outcome,Severity
3/15/2020,1154,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,W,M,5,1
3/13/2020,159,- MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KALVIN DZIEDZIAK,MAIN St,34,W,M,3,0
3/12/2020,2112,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
3/12/2020,26,#NAME?,PATROL CRAIG A EICHHAMMER,MAIN ST,NA,U,M,3,0
3/10/2020,2325,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,38,A,F,3,0
3/10/2020,1105,#NAME?,PATROL BRAD SACCO,MAIN ST,35,U,F,3,0
3/10/2020,1309,#NAME?,PATROL BRAD SACCO,SPRING ST,35,W,F,5,1
3/10/2020,2435,#NAME?,PATROL BRAD SACCOQ,NEW ASHFORD RD,35 .,W,F,3,0
3/10/2020,1257,#NAME?,CHIEF KYLE J JOHNSON,SIMONDS RD,33,U,M,3,0
3/10/2020,805,#NAME?,PATROL TANIA HERNANDEZ,GALE RD,NA,W,M,5,1
3/10/2020,1157,#NAME?,PATROL BRAD SACCO,COLE AVE,35,W,M,3,0
3/9/2020,20,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,F,3,0
3/9/2020,645,#NAME?,CHIEF KYLE J JOHNSON,COLD SPRING RD,33 |,W,F,3,0
3/9/2020,1202,#NAME?,NA,HANCOCK RD,35,W,F,3,0
3/9/2020,2306,#NAME?,NA,WATER ST,34,W,F,3,0
3/9/2020,723,#NAME?,PATROL TANIA HERNANDEZ,COLD SPRING RD,36,W,M,3,0
3/9/2020,1230,-~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL BRAD SACCO,MAIN ST,35,W,M,3,0
3/9/2020,1350,#NAME?,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,M,3,0
3/8/2020,116,#NAME?,PATROLMAN SCOTT SKORUPSKT,MAIN ST,32,W,F,3,0
3/8/2020,1659,~- MOTOR VEHICLE STOP CITATION - WARNING,PATROL JOHN J MCCONNELL JR,GREEN RIVER RD,38,W,M,3,0
3/8/2020,1742,- MOTOR VEHICLE STOP CITATION - WARNING |,PATROL JOHN J MCCONNELL JR |,GREEN RIVER RD,38,W,M,3,0
3/8/2020,125,#NAME?,PATROLMAN SCOTT SKORUPSKI,MAIN ST,32,U,U,2,0
3/7/2020,27,#NAME?,PATROL KALVIN DZIEDZIAK |,COLD SPRING RD 2,34 |,W,F,3,0
3/7/2020,57,~ MOTOR VEHICLE STOP CITATION ~- WARNING,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,F,3,0
3/7/2020,1640,#NAME?,NA,MAIN ST,32,W,F,3,0
3/7/2020,2143,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34 |,W,M,3,0
3/7/2020,219,#NAME?,PATROL KALVIN DZIEDZIAK,COLD SPRING RD,34,W,M,3,0
3/6/2020,2010,- MOTOR VEHICLE STOP CITATION ~ WARNING,PATROL JOHN J MCCONNELL JR,MAIN ST,38,A,F,3,0
3/6/2020,1256,#NAME?,PATROL BRAD SACCO,MAIN ST,35,W,F,5,1
3/6/2020,2040,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
3/6/2020,1147,#NAME?,PATROL BRAD SACCO,HANCOCK RD,35,W,M,3,0
3/6/2020,1202,#NAME?,PATROL BRAD SACCO,HANCOCK RD,35,W,M,3,0
3/6/2020,1433,#NAME?,CHIEF KYLE J JOHNSON,GREEN RIVER RD,33,W,M,3,0
3/6/2020,1541,#NAME?,PATROL BRAD SACCO,MAIN ST,35,W,M,5,1
3/6/2020,2003,#NAME?,DISPATCHER LAURIE TUPER,HOPPER RD,34,W,M,3,0
3/6/2020,2030,#NAME?,PATROL KALVIN DZIEDZIAK,GREEN RIVER RD,34,W,M,3,0
3/6/2020,1820,#NAME?,PATROL SHUAN N WILLIAM,NORTH HOOSAC RD,32 |,W,M,3,0
3/5/2020,1808,#NAME?,PATROL JOHN J MCCONNELL JR,BRIDGES RD,38,B,F,3,0
3/5/2020,1632,#NAME?,CHIEF KYLE J JOHNSON,NA,33,W,F,3,0
3/5/2020,1408,~- MOTOR VEHICLE STOP CITATION - CIVIL,PATROL BRAD SACCO,NEW ASHFORD RD,35,W,F,4,1
3/5/2020,1732,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,F,3,0
3/5/2020,26,#NAME?,NA,MAIN ST,32,U,M,3,0
3/5/2020,1631,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,W,M,3,0
3/5/2020,1643,#NAME?,PATROL JOHN J MCCONNELL JR,NORTH HOOSAC RD,38,W,M,3,0
3/4/2020,946,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,U,F,3,0
3/4/2020,1029,- MOTOR VEHICLE STOP CITATION - WARNING :,PATROL BRAD SACCO,MAIN ST :,35 |,W,F,3,0
3/4/2020,1539,#NAME?,PATROL SHUAN N WILLIAM,MAIN ST,32,W,F,3,0
3/4/2020,2330,#NAME?,NA,COLD SPRING RD |,34 2,W,F,3,0
3/4/2020,1141,#NAME?,PATROL BRAD SACCO,MAIN ST,35,U,M,3,0
3/4/2020,1201,#NAME?,PATROL BRAD SACCO,COLD SPRING RD,35,W,M,3,0
3/4/2020,1504,~ MOTOR VEHICLE STOP CITATION - WARNING,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,M,3,0
3/4/2020,2014,#NAME?,PATROL KEVIN P GARNER,TACONIC TRL,34,W,M,3,0
3/4/2020,2317,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
3/4/2020,2348,#NAME?,PATROL KALVIN DZIEDZIAK,NEW ASHFORD RD,38,W,M,3,0
3/3/2020,1034,#NAME?,CHIEF KYLE J JOHNSON,MAIN ST,33,W,F,3,0
3/3/2020,1419,#NAME?,CHIEF KYLE J JOHNSON,HANCOCK RD,33,W,F,3,0
3/3/2020,2,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34 |,W,M,3,0
3/3/2020,954,#NAME?,LIEUTENANT MIECHAEL J ZIEMBA Jr,GREEN RIVER RD,33 .,W,M,4,1
3/2/2020,1025,-~ MOTOR VEHICLE STOP CITATION - WARNING,CHIEF KYLE J JOHNSON,GREEN RIVER RD,33,U,F,3,0
3/2/2020,1632,#NAME?,PATROL JOHN J MCCONNELL JR,MAIN ST,38,W,F,4,1
3/2/2020,724,#NAME?,PATROL TANIA HERNANDEZ |,NORTH HOOSAC RD |,36 |,B,M,4,1
3/2/2020,2026,#NAME?,DISPATCHER LAURIE TUPER,STRATTON RD,38,B,M,3,0
3/2/2020,620,#NAME?,PATROL KEVIN P GARNER,COLD SPRING RD,34,W,M,3,0
3/2/2020,1903,#NAME?,PATROL SHUAN N WILLIAM,GREEN RIVER RD,32,W,M,3,0
